#XPS-spectrum

#Date/time: 		 2018-12-21__13-08-49


#AK pressure: 	4,36E-8 	 mbar
#Pass energy: 	82.1 		 eV
#Volt. bias: 	0.0 		 V
#E_Photon: 	1486.7 		 V
#I_Emission: 	12 		 mA
#V_Anode: 	12500 		 V
#Prevoltage: 	70 		 V
#Workfunction: 	4.7 		 eV
#Samples/eV: 	10 		 1/s
#TDAC: 	System.Windows.Forms.TextBox, Text: 1.207 		 V
#V_Lens: 	System.Windows.Forms.TextBox, Text: 3800 		 V
#Factor k: 	0.8 		 
#Slope: 	0.0125 		 Samples/eV
#V_Channelt.: 	2800 		 V
#Flow cooling: 	0,0 		 l/min
#Slit: 	C1 	




#E_bind 	 cps 	 E_kin 	 V_hemo


0077.628	18909	1404.372	-1334.612
0077.739	18705	1404.261	-1334.501
0077.822	18795	1404.178	-1334.419
0077.927	18900	1404.073	-1334.314
0078.049	19432	1403.951	-1334.192
0078.148	19105	1403.852	-1334.092
0078.251	19155	1403.749	-1333.990
0078.364	19200	1403.636	-1333.876
0078.492	19491	1403.508	-1333.748
0078.612	19391	1403.388	-1333.629
0078.734	20982	1403.266	-1333.507
0078.833	20932	1403.167	-1333.407
0078.922	21309	1403.078	-1333.319
0079.024	22427	1402.976	-1333.217
0079.126	23141	1402.874	-1333.114
0079.231	24855	1402.769	-1333.009
0079.336	25973	1402.664	-1332.904
0079.453	28500	1402.547	-1332.788
0079.567	30286	1402.433	-1332.674
0079.683	33336	1402.317	-1332.557
0079.774	36650	1402.226	-1332.466
0079.879	38895	1402.121	-1332.361
0079.987	42214	1402.013	-1332.253
0080.090	47018	1401.910	-1332.151
0080.186	51491	1401.814	-1332.054
0080.314	56564	1401.686	-1331.926
0080.471	63945	1401.529	-1331.770
0080.610	69882	1401.390	-1331.631
0080.741	75805	1401.259	-1331.500
0080.826	80477	1401.174	-1331.415
0080.905	83391	1401.095	-1331.335
0080.996	88991	1401.004	-1331.244
0081.116	92327	1400.884	-1331.125
0081.224	95823	1400.776	-1331.017
0081.329	101005	1400.671	-1330.912
0081.448	104955	1400.552	-1330.792
0081.565	109341	1400.435	-1330.676
0081.673	111036	1400.327	-1330.568
0081.769	111555	1400.231	-1330.471
0081.875	114755	1400.125	-1330.366
0081.977	116205	1400.023	-1330.264
0082.076	116418	1399.924	-1330.164
0082.173	118523	1399.827	-1330.067
0082.270	117709	1399.730	-1329.971
0082.375	116386	1399.625	-1329.866
0082.486	116614	1399.514	-1329.755
0082.611	115100	1399.389	-1329.630
0082.727	112691	1399.273	-1329.513
0082.841	111077	1399.159	-1329.400
0082.938	107218	1399.062	-1329.303
0083.048	105977	1398.952	-1329.192
0083.145	104082	1398.855	-1329.095
0083.236	102527	1398.764	-1329.004
0083.344	100241	1398.656	-1328.896
0083.478	97468	1398.522	-1328.763
0083.583	95491	1398.417	-1328.658
0083.688	93546	1398.312	-1328.553
0083.790	91736	1398.210	-1328.450
0083.893	91323	1398.107	-1328.348
0083.992	89759	1398.008	-1328.248
0084.077	89345	1397.923	-1328.163
0084.237	89714	1397.763	-1328.004
0084.416	90986	1397.584	-1327.825
0084.572	92723	1397.428	-1327.669
0084.688	95168	1397.312	-1327.552
0084.751	96486	1397.249	-1327.490
0084.839	97405	1397.161	-1327.401
0084.916	99032	1397.084	-1327.325
0085.055	101795	1396.945	-1327.185
0085.157	103955	1396.843	-1327.083
0085.271	105050	1396.729	-1326.969
0085.388	107077	1396.612	-1326.853
0085.501	108264	1396.499	-1326.739
0085.601	107532	1396.399	-1326.640
0085.695	109427	1396.305	-1326.546
0085.805	108350	1396.195	-1326.435
0085.908	107482	1396.092	-1326.333
0086.010	107818	1395.990	-1326.230
0086.107	105527	1395.893	-1326.134
0086.220	105127	1395.780	-1326.020
0086.343	103827	1395.657	-1325.898
0086.459	100705	1395.541	-1325.781
0086.584	97727	1395.416	-1325.656
0086.687	96000	1395.313	-1325.554
0086.786	92523	1395.214	-1325.454
0086.888	89123	1395.112	-1325.352
0086.999	86414	1395.001	-1325.241
0087.093	84286	1394.907	-1325.148
0087.195	80291	1394.805	-1325.045
0087.309	76677	1394.691	-1324.932
0087.431	71573	1394.569	-1324.809
0087.539	68105	1394.461	-1324.701
0087.636	64614	1394.364	-1324.605
0087.752	60532	1394.248	-1324.488
0087.852	59145	1394.148	-1324.389
0087.946	56073	1394.054	-1324.295
0088.045	53536	1393.955	-1324.195
0088.167	51545	1393.833	-1324.073
0088.307	48436	1393.693	-1323.934
0088.446	47045	1393.554	-1323.795
0088.560	44968	1393.440	-1323.681
0088.648	44477	1393.352	-1323.593
0088.747	43218	1393.253	-1323.493
0088.849	42850	1393.151	-1323.391
0088.952	41423	1393.048	-1323.289
0089.051	40982	1392.949	-1323.189
0089.154	40073	1392.846	-1323.087
0089.230	39227	1392.770	-1323.010
0089.324	38755	1392.676	-1322.916
0089.438	38841	1392.562	-1322.803
0089.532	37573	1392.468	-1322.709
0089.648	37118	1392.352	-1322.592
0089.748	36200	1392.252	-1322.493
0089.850	37909	1392.150	-1322.391
0089.947	37009	1392.053	-1322.294
0090.055	37250	1391.945	-1322.186
0090.143	37155	1391.857	-1322.098
0090.239	35623	1391.761	-1322.001
0090.367	35055	1391.633	-1321.873
0090.478	35295	1391.522	-1321.762
0090.589	35141	1391.411	-1321.652
0090.697	34564	1391.303	-1321.544
0090.808	35386	1391.192	-1321.433
0090.899	35150	1391.101	-1321.342
0091.001	34323	1390.999	-1321.239
0091.106	35027	1390.894	-1321.134
0091.234	34659	1390.766	-1321.006
0091.345	34741	1390.655	-1320.896
0091.444	34732	1390.556	-1320.796
0091.547	34114	1390.453	-1320.694
0091.649	34795	1390.351	-1320.592
0091.754	33327	1390.246	-1320.486
0091.845	34095	1390.155	-1320.395
0092.019	34218	1389.981	-1320.222
0092.203	33523	1389.797	-1320.037
0092.371	33732	1389.629	-1319.870
0092.476	34105	1389.524	-1319.764
0092.542	34050	1389.458	-1319.699
0092.615	33118	1389.385	-1319.625
0092.706	34045	1389.294	-1319.534
0092.817	34095	1389.183	-1319.423
0092.925	33418	1389.075	-1319.315
0093.039	34209	1388.961	-1319.202
0093.167	33195	1388.833	-1319.074
0093.275	33327	1388.725	-1318.966
0093.380	34118	1388.620	-1318.860
0093.482	34091	1388.518	-1318.758
0093.590	34195	1388.410	-1318.650
0093.693	33345	1388.307	-1318.548
0093.798	33741	1388.202	-1318.443
0093.886	33641	1388.114	-1318.355
0094.005	33405	1387.995	-1318.235
0094.144	33686	1387.856	-1318.096
0094.289	32932	1387.711	-1317.951
0094.392	33986	1387.608	-1317.849
0094.489	33236	1387.511	-1317.752
0094.577	32818	1387.423	-1317.664
0094.676	33382	1387.324	-1317.564
0094.784	32568	1387.216	-1317.456
0094.881	33600	1387.119	-1317.360
0094.997	33773	1387.003	-1317.243
0095.122	33309	1386.878	-1317.118
0095.233	34050	1386.767	-1317.007
0095.341	33559	1386.659	-1316.899
0095.441	33345	1386.559	-1316.800
0095.540	33982	1386.460	-1316.700
0095.645	33864	1386.355	-1316.595
0095.759	33877	1386.241	-1316.481
0095.858	33509	1386.142	-1316.382
0095.998	33345	1386.002	-1316.243
0096.165	33782	1385.835	-1316.075
0096.305	34318	1385.695	-1315.936
0096.398	34714	1385.602	-1315.842
0096.472	34755	1385.528	-1315.768
0096.572	33664	1385.428	-1315.669
0096.677	33759	1385.323	-1315.564
0096.785	34714	1385.215	-1315.456
0096.893	34364	1385.107	-1315.348
0097.001	33895	1384.999	-1315.239
0097.118	34736	1384.882	-1315.123
0097.231	34132	1384.769	-1315.009
0097.334	34827	1384.666	-1314.907
0097.439	34077	1384.561	-1314.802
0097.535	34536	1384.465	-1314.705
0097.638	34664	1384.362	-1314.603
0097.746	34350	1384.254	-1314.495
0097.845	34200	1384.155	-1314.395
0097.953	34705	1384.047	-1314.287
0098.061	34141	1383.939	-1314.179
0098.186	34955	1383.814	-1314.054
0098.294	35486	1383.706	-1313.946
0098.397	34477	1383.603	-1313.844
0098.505	34391	1383.495	-1313.736
0098.613	33823	1383.387	-1313.628
0098.718	34464	1383.282	-1313.523
0098.809	34432	1383.191	-1313.432
0098.917	33959	1383.083	-1313.324
0099.030	35168	1382.970	-1313.210
0099.158	33959	1382.842	-1313.082
0099.266	34523	1382.734	-1312.974
0099.363	33950	1382.637	-1312.878
0099.465	34259	1382.535	-1312.775
0099.570	34036	1382.430	-1312.670
0099.670	34164	1382.330	-1312.571
0099.761	33623	1382.239	-1312.480
0099.926	33914	1382.074	-1312.315
0100.119	34191	1381.881	-1312.122
0100.272	34241	1381.728	-1311.968
0100.369	34359	1381.631	-1311.871
0100.449	33855	1381.551	-1311.792
0100.523	34359	1381.477	-1311.718
0100.611	33645	1381.389	-1311.630
0100.721	34932	1381.279	-1311.519
0100.832	34050	1381.168	-1311.408
0100.952	34800	1381.048	-1311.289
0101.065	33700	1380.935	-1311.175
0101.179	35127	1380.821	-1311.061
0101.287	34236	1380.713	-1310.953
0101.389	34786	1380.611	-1310.851
0101.480	33809	1380.520	-1310.760
0101.591	33864	1380.409	-1310.649
0101.696	34414	1380.304	-1310.544
0101.787	33495	1380.213	-1310.453
0101.904	34823	1380.096	-1310.337
0102.032	33773	1379.968	-1310.209
0102.160	34577	1379.840	-1310.081
0102.276	34709	1379.724	-1309.964
0102.381	34386	1379.619	-1309.859
0102.484	33986	1379.516	-1309.757
0102.578	33982	1379.422	-1309.663
0102.683	34832	1379.317	-1309.558
0102.782	35255	1379.218	-1309.458
0102.893	34159	1379.107	-1309.348
0103.007	34459	1378.993	-1309.234
0103.132	34541	1378.868	-1309.109
0103.240	35055	1378.760	-1309.001
0103.336	35214	1378.664	-1308.904
0103.433	33464	1378.567	-1308.808
0103.544	33741	1378.456	-1308.697
0103.652	34114	1378.348	-1308.589
0103.743	35109	1378.257	-1308.498
0103.879	34341	1378.121	-1308.361

#S C A N  C A N C E L L E D
