#XPS-spectrum

#Date/time: 		 2018-12-21__13-11-06


#AK pressure: 	can 	 mbar
#Pass energy: 	43.3 		 eV
#Volt. bias: 	0.0 		 V
#E_Photon: 	1486.7 		 V
#I_Emission: 	12 		 mA
#V_Anode: 	12500 		 V
#Prevoltage: 	70 		 V
#Workfunction: 	4.7 		 eV
#Samples/eV: 	10 		 1/s
#TDAC: 	System.Windows.Forms.TextBox, Text: 1.207 		 V
#V_Lens: 	System.Windows.Forms.TextBox, Text: 3800 		 V
#Factor k: 	0.8 		 
#Slope: 	0.0125 		 Samples/eV
#V_Channelt.: 	2800 		 V
#Flow cooling: 	0,0 		 l/min
#Slit: 	C1 	




#E_bind 	 cps 	 E_kin 	 V_hemo


0096.491	12505	1385.509	-1348.704
0096.599	12318	1385.401	-1348.596
0096.707	12768	1385.293	-1348.488
0096.812	12927	1385.188	-1348.383
0096.917	12332	1385.083	-1348.278
0097.037	12700	1384.963	-1348.158
0097.145	12586	1384.855	-1348.050
0097.247	12882	1384.753	-1347.948
0097.346	12491	1384.654	-1347.849
0097.454	13009	1384.546	-1347.741
0097.540	12845	1384.460	-1347.655
0097.668	12823	1384.332	-1347.527
0097.830	12618	1384.170	-1347.365
0097.983	12250	1384.017	-1347.212
0098.102	12514	1383.898	-1347.093
0098.191	12891	1383.809	-1347.004
0098.279	12732	1383.721	-1346.916
0098.367	13036	1383.633	-1346.828
0098.469	12682	1383.531	-1346.726
0098.580	12886	1383.420	-1346.615
0098.688	12791	1383.312	-1346.507
0098.796	12882	1383.204	-1346.399
0098.924	13218	1383.076	-1346.271
0099.038	12445	1382.962	-1346.157
0099.131	12759	1382.869	-1346.064
0099.225	13191	1382.775	-1345.970
0099.330	12927	1382.670	-1345.865
0099.444	12482	1382.556	-1345.751
0099.538	13223	1382.462	-1345.657
0099.637	13582	1382.363	-1345.558
0099.754	13277	1382.246	-1345.441
0099.873	13027	1382.127	-1345.322
0099.995	13273	1382.005	-1345.200
0100.098	13036	1381.902	-1345.097
0100.206	13477	1381.794	-1344.989
0100.317	13268	1381.683	-1344.878
0100.419	12795	1381.581	-1344.776
0100.507	13386	1381.493	-1344.688
0100.612	12927	1381.388	-1344.583
0100.717	13100	1381.283	-1344.478
0100.828	13527	1381.172	-1344.367
0100.962	13727	1381.038	-1344.233
0101.064	13436	1380.936	-1344.131
0101.164	13595	1380.836	-1344.031
0101.274	13482	1380.726	-1343.921
0101.377	13550	1380.623	-1343.818
0101.465	13373	1380.535	-1343.730
0101.604	13650	1380.396	-1343.591
0101.795	13114	1380.205	-1343.400
0101.957	13273	1380.043	-1343.238
0102.073	13709	1379.927	-1343.122
0102.153	13823	1379.847	-1343.042
0102.224	13186	1379.776	-1342.971
0102.312	13677	1379.688	-1342.883
0102.414	13536	1379.586	-1342.781
0102.536	13550	1379.464	-1342.659
0102.653	13036	1379.347	-1342.542
0102.761	13527	1379.239	-1342.434
0102.883	13682	1379.117	-1342.312
0102.997	13618	1379.003	-1342.198
0103.079	13095	1378.921	-1342.116
0103.187	13314	1378.813	-1342.008
0103.292	13355	1378.708	-1341.903
0103.398	13195	1378.602	-1341.797
0103.491	13441	1378.509	-1341.704
0103.599	13132	1378.401	-1341.596
0103.719	13505	1378.281	-1341.476
0103.838	13127	1378.162	-1341.357
0103.969	13573	1378.031	-1341.226
0104.066	13405	1377.934	-1341.129
0104.165	12895	1377.835	-1341.030
0104.262	13350	1377.738	-1340.933
0104.372	13914	1377.628	-1340.823
0104.466	13605	1377.534	-1340.729

#S C A N  C A N C E L L E D
