#UPS-spectrum

#Date/time: 	2018-03-26__18-55-32


#AK pressure: 	8,74E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


20,044	000240	-20,329	-19,377	-20,999	14,715	240	05
20,028	000251	-20,310	-19,359	-20,980	14,718	251	05
20,005	000243	-20,291	-19,340	-20,961	14,713	243	05
19,990	000239	-20,273	-19,321	-20,943	14,717	239	05
19,896	000235	-20,253	-19,302	-20,915	14,643	235	05
19,948	000253	-20,228	-19,277	-20,898	14,720	253	05
19,928	000223	-20,209	-19,258	-20,879	14,718	223	05
19,909	000210	-20,191	-19,239	-20,860	14,719	210	05
19,892	000215	-20,172	-19,220	-20,842	14,720	215	05
19,873	000212	-20,153	-19,201	-20,823	14,720	212	05
19,855	000215	-20,134	-19,182	-20,804	14,721	215	05
19,830	000227	-20,109	-19,156	-20,778	14,721	227	05
19,811	000222	-20,089	-19,137	-20,759	14,721	222	05
19,845	000207	-20,071	-19,113	-20,741	14,774	207	05
19,778	000211	-20,051	-19,099	-20,722	14,727	211	05
19,757	000211	-20,033	-19,081	-20,703	14,724	211	05
19,738	000222	-20,014	-19,062	-20,684	14,724	222	05
19,723	000221	-19,995	-19,043	-20,665	14,728	221	05
19,699	000208	-19,969	-19,017	-20,640	14,729	208	05
19,677	000211	-19,951	-18,998	-20,621	14,726	211	05
19,663	000216	-19,931	-18,979	-20,602	14,731	216	05
19,566	000216	-19,913	-18,961	-20,575	14,653	216	05
19,627	000216	-19,894	-18,941	-20,565	14,733	216	05
19,604	000213	-19,876	-18,923	-20,545	14,728	213	05
19,580	000208	-19,849	-18,897	-20,520	14,730	208	05
19,561	000213	-19,831	-18,879	-20,501	14,729	213	05
19,548	000238	-19,812	-18,859	-20,482	14,736	238	05
19,525	000215	-19,794	-18,841	-20,464	14,731	215	05
19,509	000208	-19,774	-18,821	-20,445	14,735	208	05
19,490	000238	-19,756	-18,803	-20,426	14,735	238	05
19,517	000208	-19,730	-18,771	-20,401	14,787	208	05
19,446	000209	-19,712	-18,759	-20,382	14,734	209	05
19,427	000214	-19,693	-18,740	-20,363	14,734	214	05
19,410	000220	-19,674	-18,721	-20,344	14,736	220	05
19,394	000224	-19,655	-18,702	-20,326	14,739	224	05
19,377	000226	-19,636	-18,683	-20,307	14,741	226	05
19,352	000234	-19,611	-18,658	-20,282	14,741	234	05
19,332	000226	-19,592	-18,639	-20,263	14,740	226	05
19,363	000226	-19,573	-18,614	-20,244	14,789	226	05
19,295	000210	-19,555	-18,601	-20,225	14,740	210	05
19,277	000209	-19,535	-18,581	-20,205	14,742	209	05
19,257	000235	-19,516	-18,562	-20,186	14,742	235	05
19,231	000233	-19,491	-18,537	-20,161	14,741	233	05
19,215	000219	-19,472	-18,518	-20,142	14,743	219	05
19,195	000258	-19,453	-18,499	-20,123	14,743	258	05
19,175	000226	-19,434	-18,480	-20,104	14,742	226	05
19,062	000207	-19,414	-18,461	-20,075	14,648	207	04
19,138	000234	-19,395	-18,441	-20,066	14,743	234	05
19,121	000225	-19,376	-18,422	-20,047	14,744	225	05
19,097	000226	-19,351	-18,397	-20,022	14,746	226	05
19,076	000220	-19,332	-18,378	-20,002	14,744	220	05
19,060	000217	-19,313	-18,359	-19,983	14,747	217	04
19,037	000225	-19,294	-18,340	-19,964	14,743	225	05
19,019	000214	-19,275	-18,321	-19,945	14,745	214	05
19,005	000217	-19,256	-18,302	-19,927	14,748	217	05
19,029	000224	-19,231	-18,271	-19,901	14,798	224	05
18,963	000208	-19,212	-18,257	-19,882	14,751	208	04
18,939	000227	-19,193	-18,238	-19,863	14,746	227	05
18,923	000206	-19,174	-18,219	-19,844	14,749	206	04
18,903	000221	-19,155	-18,201	-19,826	14,748	221	05
18,885	000221	-19,136	-18,182	-19,807	14,748	221	05
18,857	000224	-19,111	-18,157	-19,781	14,746	224	05
18,842	000225	-19,093	-18,138	-19,763	14,750	225	05
18,872	000254	-19,074	-18,114	-19,744	14,799	254	05
18,806	000219	-19,055	-18,100	-19,725	14,751	219	05
18,786	000224	-19,036	-18,081	-19,706	14,749	224	05
18,767	000215	-19,017	-18,063	-19,688	14,750	215	05
18,739	000206	-18,992	-18,038	-19,662	14,747	206	05
18,737	000207	-18,974	-18,018	-19,645	14,763	207	05
18,718	000206	-18,956	-18,000	-19,626	14,763	206	05
18,695	000218	-18,937	-17,981	-19,607	14,758	218	05
18,731	000206	-18,918	-17,956	-19,588	14,813	206	05
18,653	000209	-18,899	-17,944	-19,569	14,754	209	05
18,627	000213	-18,874	-17,919	-19,544	14,753	213	05
18,619	000214	-18,856	-17,899	-19,526	14,764	214	05
18,593	000225	-18,837	-17,881	-19,507	14,756	225	05
18,576	000214	-18,818	-17,862	-19,488	14,758	214	05
18,564	000215	-18,799	-17,843	-19,470	14,765	215	05
18,536	000209	-18,780	-17,825	-19,451	14,756	209	05
18,517	000217	-18,756	-17,800	-19,426	14,762	217	05
18,543	000206	-18,737	-17,776	-19,407	14,806	206	05
18,478	000225	-18,718	-17,762	-19,388	14,760	225	05
18,460	000206	-18,700	-17,744	-19,370	14,761	206	05
18,438	000262	-18,681	-17,725	-19,351	14,758	262	05
18,429	000353	-18,662	-17,705	-19,332	14,767	353	03
18,405	000241	-18,643	-17,687	-19,313	14,763	241	05
18,381	000211	-18,618	-17,662	-19,289	14,763	211	05
18,370	000211	-18,599	-17,643	-19,270	14,770	211	05
18,392	000224	-18,580	-17,619	-19,251	14,811	224	05
18,329	000238	-18,562	-17,605	-19,232	14,767	238	05
18,307	000208	-18,543	-17,587	-19,214	14,764	208	05
18,296	000206	-18,525	-17,567	-19,195	14,771	206	05
18,271	000218	-18,500	-17,542	-19,170	14,772	218	05
18,250	000224	-18,481	-17,524	-19,151	14,770	224	05
18,233	000223	-18,462	-17,505	-19,132	14,770	223	05
18,216	000242	-18,443	-17,486	-19,113	14,773	242	05
18,235	000226	-18,424	-17,463	-19,095	14,811	226	05
18,156	000208	-18,405	-17,450	-19,075	14,751	208	05
18,135	000208	-18,379	-17,425	-19,051	14,756	208	05
18,116	000218	-18,361	-17,406	-19,032	14,755	218	05
18,099	000221	-18,342	-17,387	-19,013	14,758	221	05
18,077	000227	-18,323	-17,368	-18,994	14,755	227	05
18,059	000217	-18,304	-17,349	-18,974	14,755	217	05
18,041	000240	-18,285	-17,330	-18,955	14,756	240	05
18,066	000242	-18,260	-17,299	-18,930	14,806	242	05
18,001	000237	-18,240	-17,285	-18,911	14,761	237	05
17,981	000238	-18,221	-17,266	-18,892	14,760	238	05
17,961	000231	-18,202	-17,247	-18,873	14,758	231	05
17,943	000242	-18,183	-17,228	-18,854	14,760	242	05
17,927	000242	-18,164	-17,209	-18,835	14,762	242	05
17,900	000242	-18,139	-17,184	-18,810	14,761	242	05
17,881	000238	-18,120	-17,165	-18,791	14,761	238	05
17,909	000217	-18,102	-17,141	-18,772	14,807	217	05
17,847	000242	-18,083	-17,127	-18,754	14,764	242	05
17,826	000240	-18,064	-17,109	-18,735	14,761	240	05
17,804	000207	-18,045	-17,090	-18,716	14,759	207	04
17,784	000245	-18,020	-17,065	-18,691	14,763	245	05
17,765	000216	-18,002	-17,046	-18,672	14,762	216	05
17,749	000228	-17,983	-17,027	-18,654	14,766	228	05
17,731	000242	-17,964	-17,008	-18,635	14,767	242	05
17,634	000240	-17,946	-16,989	-18,608	14,689	240	05
17,695	000239	-17,927	-16,970	-18,597	14,769	239	05
17,677	000246	-17,908	-16,951	-18,579	14,769	246	05
17,649	000211	-17,883	-16,926	-18,553	14,766	211	05
17,637	000212	-17,863	-16,907	-18,535	14,774	212	05
17,607	000212	-17,845	-16,888	-18,515	14,762	212	05
17,600	000211	-17,826	-16,869	-18,497	14,775	211	05
17,581	000222	-17,807	-16,850	-18,478	14,774	222	05
17,557	000215	-17,788	-16,831	-18,458	14,769	215	05
17,586	000213	-17,762	-16,800	-18,434	14,823	213	05
17,519	000206	-17,743	-16,787	-18,415	14,776	206	05
17,500	000208	-17,725	-16,768	-18,396	14,776	208	05
17,477	000211	-17,706	-16,749	-18,376	14,771	211	05
17,461	000214	-17,686	-16,730	-18,358	14,775	214	05
17,440	000211	-17,667	-16,711	-18,338	14,772	211	05
17,421	000212	-17,642	-16,685	-18,314	14,779	212	05
17,397	000211	-17,624	-16,666	-18,294	14,774	211	05
17,312	000222	-17,605	-16,647	-18,268	14,708	222	05
17,362	000207	-17,585	-16,628	-18,256	14,778	207	05
17,347	000211	-17,566	-16,609	-18,237	14,781	211	05
17,326	000208	-17,547	-16,590	-18,218	14,778	208	05
17,303	000207	-17,522	-16,565	-18,193	14,780	207	05
17,282	000218	-17,504	-16,546	-18,174	14,778	218	05
17,263	000207	-17,484	-16,527	-18,155	14,779	207	05
17,248	000214	-17,467	-16,508	-18,137	14,781	214	05
17,229	000212	-17,449	-16,489	-18,117	14,780	212	05
17,259	000221	-17,430	-16,465	-18,099	14,829	221	05
17,188	000211	-17,405	-16,445	-18,073	14,783	211	05
17,167	000220	-17,386	-16,426	-18,054	14,781	220	05
17,149	000211	-17,366	-16,406	-18,035	14,783	211	05
17,128	000225	-17,348	-16,388	-18,016	14,780	225	05
17,115	000206	-17,328	-16,369	-17,998	14,787	206	05
17,096	000218	-17,309	-16,349	-17,978	14,786	218	05
17,067	000221	-17,284	-16,324	-17,953	14,783	221	05
17,050	000220	-17,266	-16,305	-17,934	14,784	220	05
17,076	000212	-17,246	-16,281	-17,915	14,829	212	05
17,014	000231	-17,228	-16,267	-17,896	14,786	231	05
16,994	000224	-17,209	-16,248	-17,877	14,785	224	05
16,976	000223	-17,190	-16,229	-17,858	14,786	223	05
16,957	000219	-17,170	-16,210	-17,839	14,787	219	05
16,933	000217	-17,146	-16,185	-17,814	14,788	217	05
16,917	000226	-17,126	-16,165	-17,795	14,791	226	05
16,899	000215	-17,107	-16,146	-17,776	14,792	215	05
16,924	000236	-17,088	-16,123	-17,757	14,836	236	05
16,858	000229	-17,069	-16,109	-17,738	14,788	229	05
16,844	000213	-17,050	-16,089	-17,719	14,794	213	05
16,820	000217	-17,025	-16,064	-17,694	14,795	217	05
16,799	000216	-17,006	-16,045	-17,675	14,792	216	05
16,780	000217	-16,987	-16,026	-17,656	14,793	217	05
16,762	000251	-16,968	-16,007	-17,637	14,794	251	05
16,746	000225	-16,949	-15,988	-17,618	14,796	225	05
16,769	000246	-16,931	-15,964	-17,599	14,838	246	05
16,702	000226	-16,906	-15,944	-17,574	14,797	226	05
16,682	000207	-16,886	-15,925	-17,555	14,796	207	04
16,664	000223	-16,868	-15,906	-17,536	14,797	223	05
16,646	000222	-16,849	-15,888	-17,518	14,797	222	05
16,626	000225	-16,830	-15,868	-17,499	14,796	225	05
16,609	000206	-16,811	-15,849	-17,480	14,798	206	04
16,601	000235	-16,786	-15,825	-17,457	14,815	235	05
16,630	000217	-16,767	-15,801	-17,438	14,863	217	05
16,566	000248	-16,749	-15,787	-17,419	14,817	248	05
16,546	000224	-16,729	-15,768	-17,400	14,816	224	05
16,528	000226	-16,711	-15,749	-17,382	14,818	226	05
16,513	000218	-16,692	-15,730	-17,363	14,820	218	05
16,490	000219	-16,667	-15,705	-17,338	14,823	219	05
16,471	000208	-16,648	-15,686	-17,319	14,822	208	05
16,453	000209	-16,630	-15,667	-17,301	14,824	209	05
16,436	000210	-16,611	-15,648	-17,282	14,825	210	05
16,456	000215	-16,592	-15,625	-17,263	14,865	215	05
16,396	000215	-16,573	-15,611	-17,244	14,823	215	05
16,368	000215	-16,548	-15,586	-17,219	14,820	215	05
16,355	000231	-16,529	-15,566	-17,200	14,826	231	05
16,333	000209	-16,510	-15,547	-17,180	14,824	209	05
16,320	000208	-16,491	-15,528	-17,162	14,829	208	05
16,301	000217	-16,472	-15,509	-17,143	14,829	217	05
16,274	000207	-16,453	-15,491	-17,124	14,821	207	05
16,190	000224	-16,434	-15,471	-17,097	14,756	224	05
16,240	000213	-16,408	-15,445	-17,080	14,832	213	05
16,213	000210	-16,389	-15,427	-17,060	14,824	210	05
16,204	000215	-16,371	-15,407	-17,042	14,833	215	05
16,182	000216	-16,352	-15,389	-17,023	14,830	216	05
16,156	000206	-16,333	-15,370	-17,003	14,823	206	05
16,151	000206	-16,314	-15,351	-16,985	14,837	206	05
16,113	000206	-16,289	-15,326	-16,960	14,824	206	05
16,096	000208	-16,270	-15,308	-16,941	14,826	208	05
16,121	000212	-16,251	-15,284	-16,922	14,869	212	05
16,072	000214	-16,233	-15,269	-16,904	14,840	214	05
16,037	000214	-16,214	-15,251	-16,884	14,824	214	05
16,038	000214	-16,195	-15,231	-16,867	14,842	214	05
16,012	000215	-16,170	-15,206	-16,841	14,842	215	05
15,983	000220	-16,151	-15,188	-16,822	14,832	220	05
15,960	000214	-16,132	-15,169	-16,803	14,828	214	05
15,941	000214	-16,114	-15,151	-16,784	14,828	214	05
15,974	000217	-16,095	-15,126	-16,766	14,879	217	05
15,915	000224	-16,076	-15,112	-16,747	14,839	224	05
15,892	000215	-16,051	-15,086	-16,721	14,842	215	05
15,876	000213	-16,031	-15,067	-16,703	14,845	213	05
15,851	000219	-16,012	-15,049	-16,683	14,839	219	05
15,833	000229	-15,993	-15,030	-16,665	14,839	229	05
15,806	000215	-15,974	-15,011	-16,645	14,831	215	05
15,796	000232	-15,956	-14,992	-16,627	14,841	232	05
15,772	000221	-15,931	-14,967	-16,602	14,841	221	05
15,799	000212	-15,912	-14,943	-16,583	14,887	212	05
15,738	000214	-15,894	-14,929	-16,564	14,845	214	05
15,712	000226	-15,874	-14,910	-16,545	14,838	226	05
15,700	000204	-15,856	-14,891	-16,527	14,845	204	04
15,678	000230	-15,837	-14,873	-16,508	14,841	230	05
15,662	000234	-15,818	-14,854	-16,489	14,844	234	05
15,635	000246	-15,793	-14,829	-16,464	14,842	246	05
15,618	000204	-15,774	-14,810	-16,445	14,844	204	04
15,643	000253	-15,755	-14,786	-16,427	14,888	253	05
15,586	000241	-15,737	-14,772	-16,408	14,849	241	05
15,562	000243	-15,718	-14,753	-16,389	14,845	243	05
15,548	000205	-15,699	-14,734	-16,370	14,849	205	04
15,522	000246	-15,674	-14,709	-16,345	14,848	246	05
15,502	000244	-15,655	-14,690	-16,326	14,848	244	05
15,489	000242	-15,636	-14,670	-16,307	14,853	242	05
15,466	000244	-15,617	-14,652	-16,288	14,850	244	05
15,493	000246	-15,598	-14,628	-16,269	14,895	246	05
15,432	000241	-15,579	-14,613	-16,250	14,853	241	05
15,402	000204	-15,553	-14,588	-16,224	14,849	204	04
15,391	000246	-15,535	-14,569	-16,206	14,857	246	05
15,367	000214	-15,516	-14,550	-16,186	14,851	214	05
15,350	000212	-15,497	-14,531	-16,167	14,853	212	05
15,328	000214	-15,478	-14,512	-16,149	14,850	214	05
15,315	000215	-15,459	-14,493	-16,130	14,856	215	05
15,331	000212	-15,434	-14,463	-16,105	14,897	212	05
15,268	000213	-15,414	-14,449	-16,086	14,854	213	05
15,251	000215	-15,396	-14,430	-16,067	14,855	215	05
15,229	000206	-15,377	-14,411	-16,048	14,852	206	05
15,214	000214	-15,358	-14,392	-16,029	14,856	214	05
15,191	000205	-15,340	-14,374	-16,010	14,851	205	05
15,172	000206	-15,314	-14,349	-15,986	14,858	206	05
15,157	000215	-15,296	-14,330	-15,967	14,861	215	05
15,178	000209	-15,277	-14,307	-15,948	14,902	209	05
15,116	000209	-15,258	-14,292	-15,929	14,857	209	05
15,100	000210	-15,239	-14,274	-15,911	14,861	210	05
15,076	000214	-15,221	-14,255	-15,892	14,855	214	05
15,053	000206	-15,196	-14,230	-15,866	14,856	206	05
15,043	000211	-15,177	-14,211	-15,849	14,866	211	05
15,018	000206	-15,159	-14,192	-15,829	14,859	206	05
15,003	000214	-15,140	-14,173	-15,811	14,863	214	05
14,989	000211	-15,121	-14,154	-15,792	14,868	211	05
15,011	000216	-15,102	-14,131	-15,774	14,909	216	05
14,946	000214	-15,083	-14,117	-15,754	14,862	214	05
14,927	000214	-15,058	-14,092	-15,730	14,869	214	05
14,906	000215	-15,040	-14,073	-15,710	14,866	215	05
14,881	000215	-15,020	-14,054	-15,691	14,861	215	05
14,867	000214	-15,002	-14,035	-15,673	14,865	214	05
14,847	000215	-14,983	-14,016	-15,653	14,864	215	05
14,832	000216	-14,964	-13,997	-15,635	14,868	216	05
14,808	000207	-14,939	-13,971	-15,610	14,870	207	05
14,828	000221	-14,920	-13,948	-15,591	14,908	221	05
14,772	000215	-14,901	-13,934	-15,572	14,871	215	05
14,753	000235	-14,883	-13,916	-15,554	14,870	235	05
14,738	000215	-14,864	-13,897	-15,535	14,874	215	05
14,717	000224	-14,845	-13,877	-15,516	14,872	224	05
14,695	000209	-14,820	-13,852	-15,491	14,876	209	05
14,676	000220	-14,801	-13,833	-15,472	14,875	220	05
14,655	000214	-14,782	-13,815	-15,453	14,873	214	05
14,683	000223	-14,763	-13,791	-15,435	14,920	223	05
14,621	000215	-14,744	-13,777	-15,416	14,877	215	05
14,602	000246	-14,726	-13,758	-15,397	14,877	246	05
14,576	000219	-14,700	-13,733	-15,372	14,876	219	05
14,563	000209	-14,682	-13,713	-15,353	14,881	209	05
14,544	000221	-14,662	-13,694	-15,334	14,882	221	05
14,523	000206	-14,644	-13,676	-15,315	14,880	206	04
14,508	000242	-14,625	-13,656	-15,296	14,883	242	05
14,529	000246	-14,606	-13,633	-15,277	14,924	246	05
14,463	000219	-14,580	-13,612	-15,252	14,883	219	05
14,439	000211	-14,561	-13,593	-15,232	14,878	211	04
14,424	000234	-14,542	-13,573	-15,213	14,882	234	05
14,408	000225	-14,523	-13,555	-15,195	14,885	225	05
14,388	000215	-14,504	-13,536	-15,176	14,884	215	05
14,370	000215	-14,485	-13,517	-15,157	14,884	215	05
14,343	000253	-14,461	-13,492	-15,132	14,882	253	05
14,376	000205	-14,442	-13,468	-15,113	14,934	205	04
14,308	000254	-14,423	-13,454	-15,094	14,885	254	05
14,292	000205	-14,404	-13,436	-15,076	14,887	205	04
14,274	000220	-14,385	-13,416	-15,057	14,889	220	05
14,258	000214	-14,366	-13,397	-15,038	14,892	214	05
14,236	000229	-14,348	-13,379	-15,019	14,888	229	05
14,212	000221	-14,323	-13,353	-14,994	14,889	221	05
14,190	000222	-14,304	-13,335	-14,975	14,887	222	05
14,215	000206	-14,285	-13,311	-14,956	14,930	206	05
14,156	000214	-14,265	-13,296	-14,937	14,890	214	05
14,133	000205	-14,247	-13,278	-14,918	14,886	205	05
14,119	000206	-14,228	-13,259	-14,899	14,891	206	05
14,095	000216	-14,202	-13,233	-14,874	14,893	216	05
14,078	000207	-14,183	-13,214	-14,855	14,895	207	05
14,056	000218	-14,164	-13,195	-14,836	14,892	218	05
14,034	000213	-14,145	-13,176	-14,816	14,888	213	05
14,024	000214	-14,126	-13,157	-14,798	14,897	214	05
14,037	000225	-14,109	-13,135	-14,779	14,928	225	05
13,981	000206	-14,083	-13,113	-14,755	14,898	206	05
13,958	000205	-14,065	-13,095	-14,736	14,893	205	05
13,939	000206	-14,046	-13,076	-14,717	14,893	206	05
13,919	000216	-14,027	-13,057	-14,698	14,892	216	05
13,902	000211	-14,008	-13,038	-14,679	14,893	211	05
13,888	000210	-13,989	-13,019	-14,661	14,899	210	05
13,858	000212	-13,964	-12,994	-14,635	14,894	212	05
13,846	000224	-13,945	-12,976	-14,617	14,901	224	05
13,863	000223	-13,927	-12,953	-14,598	14,936	223	05
13,808	000207	-13,909	-12,938	-14,580	14,899	207	05
13,788	000214	-13,889	-12,919	-14,561	14,899	214	05
13,775	000206	-13,870	-12,900	-14,542	14,905	206	05
13,745	000212	-13,845	-12,875	-14,517	14,900	212	05
13,730	000212	-13,826	-12,856	-14,498	14,904	212	05
13,709	000224	-13,808	-12,837	-14,479	14,902	224	05
13,692	000215	-13,788	-12,818	-14,460	14,904	215	05
13,710	000224	-13,770	-12,795	-14,441	14,940	224	05
13,650	000215	-13,751	-12,781	-14,422	14,899	215	05
13,632	000211	-13,726	-12,755	-14,397	14,906	211	05
13,615	000219	-13,707	-12,736	-14,379	14,908	219	05
13,593	000206	-13,689	-12,718	-14,360	14,904	206	05
13,574	000229	-13,670	-12,699	-14,341	14,905	229	05
13,558	000216	-13,651	-12,680	-14,322	14,907	216	05
13,541	000216	-13,632	-12,661	-14,304	14,909	216	05
13,561	000216	-13,613	-12,638	-14,285	14,948	216	05
13,496	000211	-13,588	-12,617	-14,260	14,908	211	05
13,474	000213	-13,570	-12,599	-14,241	14,904	213	05
13,459	000205	-13,551	-12,580	-14,223	14,909	205	04
13,442	000212	-13,532	-12,561	-14,204	14,910	212	05
13,422	000246	-13,513	-12,542	-14,185	14,910	246	05
13,404	000235	-13,494	-12,523	-14,166	14,910	235	05
13,380	000206	-13,469	-12,498	-14,141	14,911	206	04
13,361	000246	-13,450	-12,479	-14,122	14,911	246	05
13,381	000239	-13,432	-12,456	-14,103	14,949	239	05
13,327	000235	-13,413	-12,441	-14,085	14,914	235	05
13,306	000249	-13,394	-12,423	-14,065	14,911	249	05
13,287	000206	-13,375	-12,404	-14,047	14,912	206	04
13,264	000241	-13,350	-12,379	-14,022	14,914	241	05
13,247	000253	-13,332	-12,360	-14,004	14,915	253	05
13,229	000236	-13,313	-12,341	-13,984	14,916	236	05
13,246	000246	-13,294	-12,318	-13,965	14,952	246	05
13,189	000244	-13,275	-12,303	-13,947	14,914	244	05
13,172	000246	-13,256	-12,285	-13,928	14,916	246	05
13,146	000225	-13,231	-12,259	-13,903	14,914	225	05
13,130	000253	-13,212	-12,240	-13,884	14,918	253	05
13,111	000228	-13,193	-12,221	-13,865	14,918	228	05
13,091	000225	-13,174	-12,202	-13,846	14,917	225	05
13,076	000215	-13,155	-12,183	-13,827	14,921	215	05
13,091	000223	-13,137	-12,161	-13,808	14,954	223	05
13,034	000210	-13,111	-12,139	-13,783	14,923	210	05
13,013	000215	-13,092	-12,120	-13,764	14,921	215	05
12,992	000215	-13,074	-12,101	-13,745	14,918	215	05
12,977	000214	-13,054	-12,082	-13,726	14,923	214	05
12,957	000208	-13,036	-12,063	-13,707	14,921	208	05
12,941	000206	-13,017	-12,044	-13,688	14,924	206	05
12,911	000214	-12,992	-12,019	-13,662	14,919	214	05
12,897	000215	-12,972	-11,999	-13,644	14,925	215	05
12,917	000217	-12,953	-11,976	-13,625	14,965	217	05
12,859	000218	-12,934	-11,961	-13,605	14,926	218	05
12,843	000224	-12,915	-11,942	-13,587	14,928	224	05
12,823	000215	-12,896	-11,924	-13,568	14,927	215	05
12,802	000205	-12,878	-11,905	-13,550	14,923	205	05
12,780	000215	-12,853	-11,880	-13,525	14,927	215	05
12,760	000215	-12,834	-11,861	-13,506	14,925	215	05
12,742	000215	-12,816	-11,843	-13,487	14,927	215	05
12,757	000215	-12,797	-11,820	-13,468	14,960	215	05
12,705	000210	-12,777	-11,804	-13,449	14,928	210	05
12,688	000215	-12,759	-11,785	-13,430	14,929	215	05
12,667	000211	-12,734	-11,760	-13,406	14,933	211	05
12,649	000215	-12,715	-11,741	-13,387	14,934	215	05
12,630	000215	-12,696	-11,723	-13,368	14,934	215	05
12,610	000216	-12,677	-11,704	-13,349	14,932	216	05
12,593	000212	-12,658	-11,685	-13,330	14,935	212	05
12,508	000217	-12,640	-11,666	-13,305	14,868	217	05
12,549	000212	-12,615	-11,641	-13,286	14,934	212	05
12,531	000215	-12,596	-11,622	-13,268	14,935	215	05
12,513	000216	-12,577	-11,604	-13,249	14,936	216	05
12,497	000226	-12,559	-11,584	-13,230	14,938	226	05
12,480	000215	-12,539	-11,565	-13,212	14,941	215	05
12,462	000216	-12,521	-11,546	-13,193	14,941	216	05
12,434	000211	-12,495	-11,521	-13,167	14,939	211	05
12,412	000235	-12,477	-11,502	-13,148	14,935	235	05
12,430	000233	-12,458	-11,479	-13,129	14,972	233	05
12,375	000215	-12,438	-11,464	-13,109	14,936	215	05
12,354	000215	-12,419	-11,445	-13,090	14,935	215	05
12,338	000215	-12,400	-11,426	-13,071	14,938	215	05
12,316	000251	-12,374	-11,400	-13,046	14,942	251	05
12,294	000223	-12,355	-11,380	-13,026	14,939	223	05
12,278	000224	-12,336	-11,362	-13,008	14,942	224	05
12,257	000216	-12,317	-11,342	-12,988	14,940	216	05
